Isolate,District,Date
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK2255,Unknown,21-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10248_EMLK,PortLoko,02-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0305_C2_PL4570,PortLoko,10-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C1_PL5260,Kambia,23-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10353_EMLK,WesternUrban,08-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2005_C2_PL6656,PortLoko,01-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_14687_EMLK,WesternUrban,21-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0966,Bombali,08-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1309_C2_MK13013,Bombali,12-Sep-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C2_KT4054,Unknown,13-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77750_EMLK,Unknown,12-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10049_EMLK,WesternUrban,21-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C1_PL5428,Kambia,27-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_18647_EMLH,WesternUrban,09-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK2382,Bombali,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2104_C2_MK2366,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_15421_EMLK,Kambia,13-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_77551_EMLK,WesternUrban,01-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77648_EMLK,WesternUrban,07-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C1_77742_EMLK,WesternUrban,11-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1007_C2_MK0045,Bombali,09-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C1_PL7401,PortLoko,27-May-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C1_13268_EMLH,WesternUrban,23-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1507_C2_MK0709,Tonkolili,31-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0879,PortLoko,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77612_EMLK,WesternUrban,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_PL4432R,Kambia,07-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_75711_EMLH,WesternUrban,15-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1009_C1_20547_EMLK,Kambia,07-Sep-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_731_EMLH,WesternUrban,11-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_15674_EMLK,Kambia,28-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_518_EMLH,Unknown,02-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_PL4022R,PortLoko,26-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C2_MK2383R,Bombali,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0305_C1_PL4844,PortLoko,16-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77644_EMLK,WesternUrban,07-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK3479,Bombali,26-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1007_C2_MK0607,Unknown,28-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL8630,PortLoko,29-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_15373_EMLK,Kambia,10-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0305_C1_PL5228,PortLoko,23-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77573_EMLK,WesternUrban,03-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12757_EMLH,WesternUrban,03-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1804_C1_MK2570,Unknown,01-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_PL8896,PortLoko,06-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_10356_EMLK,Unknown,08-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3004_C2_KT5486,Unknown,27-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0305_C1_PL4696,PortLoko,13-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7685,PortLoko,06-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C1_MK2431,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2507_C2_10112_EMLK,WesternRural,24-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_15207R_EMLK,kambia,29-May-2015
