Isolate,District,Date
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_14743_EMLK,Kambia,19-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0106_C2_KT2316,PortLoko,02-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0507_C2_MK0392,Bombali,22-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0507_C2_MK0390,Bombali,22-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12916_EMLH,WesternUrban,29-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK2398,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C2_MK2826,Bombali,08-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK2395,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-3007_C1_77524_EMLK,WesternUrban,30-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_15349_EMLK,Kambia,09-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1805_C1_MK2825,Bombali,08-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_77716_EMLK,WesternUrban,10-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_735_EMLH,Unknown,11-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0866,Unknown,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0867,Unknown,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0864,Unknown,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0865,Unknown,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2906_C1_PL8128,PortLoko,16-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C2_12242_EMLH,WesternUrban,28-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0868,Unknown,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1507_C2_MK0869,Bombali,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-3007_C1_77529_EMLK,WesternUrban,30-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C1_MK0723R,Bombali,01-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C1_PL4203R,PortLoko,02-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0205_C2_PL5950,PortLoko,08-Apr-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-0106_C2_KT2641,Unknown,12-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C2_MK1036R,Bombali,11-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C1_75707_EMLH,WesternRural,15-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C1_PL9150Rb,PortLoko,12-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2208_C2_75731_EMLH,WesternUrban,16-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1007_C2_MK0020,Bombali,08-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0305_C1_PL4932,PortLoko,18-Mar-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0208_C1_77677_EMLK,WesternUrban,08-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-1007_C2_MK0024,Bombali,08-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C2_MK1156R,Bombali,15-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2807_C2_539_EMLH,WesternUrban,02-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2014/Makona-2208_C1_MK0434R2,Bombali,23-Dec-2014
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7605,PortLoko,04-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1706_C1_PL7604,PortLoko,04-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-2607_C1_614_EMLH,WesternRural,05-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0807_C1_PL7577,PortLoko,03-Jun-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_77572_EMLK,WesternUrban,03-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C2_77601_EMLK,WesternUrban,05-Jan-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_10394_EMLK,WesternUrban,09-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1807_C2_10402_EMLK,WesternUrban,10-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-3007_C1_MK9396,Unknown,18-Jul-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1105_C1_MK2405,Unknown,25-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-0806_C2_KT4663,Unknown,03-Feb-2015
Ebola virus/H.sapiens-wt/SLE/2015/Makona-1708_C2_MK2717R,Bombali,04-Mar-2015
